16,0.00,112562.04,5854.02,,2021-10-01,2021-10-01,2021-10-01,2021-10-01
16,0.00,112562.04,5854.02,,2021-10-01,2021-10-01,2021-10-01,2021-10-01
17,0.00,112562.04,5927.73,,2021-11-01,2021-11-01,2021-11-01,2021-11-01
17,0.00,112562.04,5927.73,,2021-11-01,2021-11-01,2021-11-01,2021-11-01
17,0.00,112562.04,5927.73,,2021-11-01,2021-11-01,2021-11-01,2021-11-01
17,0.00,112562.04,5927.73,,2021-11-01,2021-11-01,2021-11-01,2021-11-01
18,0.00,112562.04,6002.37,,2021-12-01,2021-12-01,2021-12-01,2021-12-01
18,0.00,112562.04,6002.37,,2021-12-01,2021-12-01,2021-12-01,2021-12-01
18,0.00,112562.04,6002.37,,2021-12-01,2021-12-01,2021-12-01,2021-12-01
18,0.00,112562.04,6002.37,,2021-12-01,2021-12-01,2021-12-01,2021-12-01
19,0.00,112562.04,6077.95,,2022-01-01,2022-01-01,2022-01-01,2022-01-01
19,0.00,112562.04,6077.95,,2022-01-01,2022-01-01,2022-01-01,2022-01-01
19,0.00,112562.04,6077.95,,2022-01-01,2022-01-01,2022-01-01,2022-01-01
19,0.00,112562.04,6077.95,,2022-01-01,2022-01-01,2022-01-01,2022-01-01
20,0.00,112562.04,6154.48,,2022-02-01,2022-02-01,2022-02-01,2022-02-01
20,0.00,112562.04,6154.48,,2022-02-01,2022-02-01,2022-02-01,2022-02-01
20,0.00,112562.04,6154.48,,2022-02-01,2022-02-01,2022-02-01,2022-02-01
20,0.00,112562.04,6154.48,,2022-02-01,2022-02-01,2022-02-01,2022-02-01
21,0.00,112562.04,6231.98,,2022-03-01,2022-03-01,2022-03-01,2022-03-01
21,0.00,112562.04,6231.98,,2022-03-01,2022-03-01,2022-03-01,2022-03-01
21,0.00,112562.04,6231.98,,2022-03-01,2022-03-01,2022-03-01,2022-03-01
21,0.00,112562.04,6231.98,,2022-03-01,2022-03-01,2022-03-01,2022-03-01
22,0.00,112562.04,6310.45,,2022-04-01,2022-04-01,2022-04-01,2022-04-01
22,0.00,112562.04,6310.45,,2022-04-01,2022-04-01,2022-04-01,2022-04-01
22,0.00,112562.04,6310.45,,2022-04-01,2022-04-01,2022-04-01,2022-04-01
22,0.00,112562.04,6310.45,,2022-04-01,2022-04-01,2022-04-01,2022-04-01
23,0.00,112562.04,6389.91,,2022-05-01,2022-05-01,2022-05-01,2022-05-01
23,0.00,112562.04,6389.91,,2022-05-01,2022-05-01,2022-05-01,2022-05-01
23,0.00,112562.04,6389.91,,2022-05-01,2022-05-01,2022-05-01,2022-05-01
23,0.00,112562.04,6389.91,,2022-05-01,2022-05-01,2022-05-01,2022-05-01
24,0.00,112562.04,6470.37,,2022-06-01,2022-06-01,2022-06-01,2022-06-01
24,0.00,112562.04,6470.37,,2022-06-01,2022-06-01,2022-06-01,2022-06-01
24,0.00,112562.04,6470.37,,2022-06-01,2022-06-01,2022-06-01,2022-06-01
24,0.00,112562.04,6470.37,,2022-06-01,2022-06-01,2022-06-01,2022-06-01
25,0.00,112562.04,6551.84,,2022-07-01,2022-07-01,2022-07-01,2022-07-01
25,0.00,112562.04,6551.84,,2022-07-01,2022-07-01,2022-07-01,2022-07-01
25,0.00,112562.04,6551.84,,2022-07-01,2022-07-01,2022-07-01,2022-07-01
25,0.00,112562.04,6551.84,,2022-07-01,2022-07-01,2022-07-01,2022-07-01
26,0.00,112562.04,6634.34,,2022-08-01,2022-08-01,2022-08-01,2022-08-01
26,0.00,112562.04,6634.34,,2022-08-01,2022-08-01,2022-08-01,2022-08-01
26,0.00,112562.04,6634.34,,2022-08-01,2022-08-01,2022-08-01,2022-08-01
26,0.00,112562.04,6634.34,,2022-08-01,2022-08-01,2022-08-01,2022-08-01
27,0.00,112562.04,6717.88,,2022-09-01,2022-09-01,2022-09-01,2022-09-01
27,0.00,112562.04,6717.88,,2022-09-01,2022-09-01,2022-09-01,2022-09-01
27,0.00,112562.04,6717.88,,2022-09-01,2022-09-01,2022-09-01,2022-09-01
27,0.00,112562.04,6717.88,,2022-09-01,2022-09-01,2022-09-01,2022-09-01
28,0.00,112562.04,6802.46,,2022-10-01,2022-10-01,2022-10-01,2022-10-01
28,0.00,112562.04,6802.46,,2022-10-01,2022-10-01,2022-10-01,2022-10-01
28,0.00,112562.04,6802.46,,2022-10-01,2022-10-01,2022-10-01,2022-10-01
28,0.00,112562.04,6802.46,,2022-10-01,2022-10-01,2022-10-01,2022-10-01
29,0.00,112562.04,6888.12,,2022-11-01,2022-11-01,2022-11-01,2022-11-01
29,0.00,112562.04,6888.12,,2022-11-01,2022-11-01,2022-11-01,2022-11-01
29,0.00,112562.04,6888.12,,2022-11-01,2022-11-01,2022-11-01,2022-11-01
29,0.00,112562.04,6888.12,,2022-11-01,2022-11-01,2022-11-01,2022-11-01
30,0.00,112562.04,6974.63,,2022-12-01,2022-12-01,2022-12-01,2022-12-01
30,0.00,112562.04,6974.63,,2022-12-01,2022-12-01,2022-12-01,2022-12-01
30,0.00,112562.04,6974.63,,2022-12-01,2022-12-01,2022-12-01,2022-12-01
30,0.00,112562.04,6974.63,,2022-12-01,2022-12-01,2022-12-01,2022-12-01
